id,probability,active,name,type,difficulty,startingLvl,description,mechanicalTags,example,mechanics,choiceText,extrasText
PWR_ABSO,1,1,ABSORPTION,Defensive,4,4,"Absorb specific attacks or energy to reduce damage you receive and power up other specific use of your power such as blasts, self-healing  or attribute increase", PASSIVE|ATTRIBUTE_USED:NONE,LUNAR NOVA's Power: LIGHT ABSORPTION allows her to absorb heat to heal herself and power her MOON ENERGY blasts,"Absorption can absorb a particular type of attack, such impact or a type of energy chosen when you acquire this power. Subtract your Absorption level from the attack’s level. If this reduces the attack’s level to 0 or less, it has no effect. Any remaining levels of the attack effect you normally; apply any other defence.
 • Attribute increase - increase chosen attribute for the next page to the absorbed level. • Blast: On your next panel after absorbing damage, you can unleash the absorbed energy as a Blast with a level equal to the level absorbed. • Healing: As a reaction you can regain Stamina equal to the absorbed level. You can also broaden your Absorption as an extra: • Broad: Your Absorption protects against all physical or all energy damage.","

This power requires you to make those choices during character creation :

Choose one of the following sources of harm or come up with your own. Consult GM on your choice: Bashing/Blasting, Cold, Corrosive, Electricity, Heat,  Radiation, Slashing/Shooting. This is source that you can absorb.

Chose on of the following : Specific Attribute increase, Healing, Blast. This power You can charge with your absorption. ","During character creation or later during character development you can take specific extra effect:

Broad use : You can choose additional source of harm or additional power You can charge "
PWR_AFFL,1,1,AFFLICTION,Offensive,2,4,"Inflict disease, toxin, energy drain, magic curse of some other long-lasting debilitating condion", REPEATED_ACTION|ATTRIBUTE_USED:PROWESS,DR HYDE's Power Power: VIRAL TRANSFER can infect enemies with a debilitating virus just by touching them.,"Affliction works much like a disease or toxin. Make a Prowess test to touch your target, then an Affliction test against the higher of the target’s Strength or Regeneration level: • Massive or Major Failure means no effect and ends any ongoing Affliction effect. • Moderate Failure means no effect this page, but the Affliction continues and another test is required on the following page, at the start of your panel. • Marginal Success inflicts half the Affliction’s level as Stamina damage, ignoring Damage Resistance (but not Affliction Resistance). The Affliction continues and another test is required on the following page, at the start of your panel. • Moderate Success or better inflicts the Affliction’s level as Stamina damage, ignoring Damage Resistance (but not Affliction Resistance). The Affliction continues and another test is required on the following page, at the start of your panel. Choose whether your Affliction causes a target reduced to 0 Stamina to remain unconscious (like a major stunning outcome) or begin losing Strength levels (like a major killing outcome). See Damage in The Basics chapter for details.",,
PWR_ALT_FORM_FLUI,1,1,ALTERNATE FORM: FLUID,Alteration,3,4,"You transform into a fluid form, able to flow through cracks and other small spaces. You might be a liquid—like water—or a mass of fine particles like dust or sand. You are resistent to some types of damage but must choose energy type you're vulnerable to", ACTION|ATTRIBUTE_USED:NONE,,"Alternate Form transforms you into a form other than flesh and blood. It takes a page of preparation to change into your Alternate Form, but you can return to normal form instantly on your panel. As an extra, you can assume your Alternate Form without preparation. While in your Alternate Form, you have full Life Support (see Life Support, following). • Energy Form: You become a coherent field of energy (see Energy Control for some possibilities). You gain Flight at your power level and are immune to physical attacks but you have no Strength and cannot touch or affect physical objects while in energy form. Attacks affecting your type of energy still affect you. You can acquire Energy Control of the same type as your form as an extra. • Explosive Form: You can make your body explode like a Blast with the Burst extra. You then reform at the start of the next page. Until then you are immune to physical attacks but unable to affect the physical world. You can delay reforming for up to your power level in pages and reform anywhere within extended range of where you exploded. As an extra, you can Teleport at your power level after exploding, reforming much further away. • Fluid Form: You transform into a fluid form, able to flow through cracks and other small spaces. You might be a liquid—like water—or a mass of fine particles like dust or sand. You gain Damage Resistance and Stretching equal to your power level. • Gaseous Form: You transform into a cloud of gas or fine airborne particles, possibly even a swarm of flying insects or nanites. You gain Flight 1 and can flow through any opening that’s not airtight. You are immune to physical attacks except for those that would disrupt or affect a cloud. • Shadow Form: You transform into a flat silhouette of your normal appearance. You have no Strength and cannot touch or affect physical objects. You are immune to physical attacks, except for light-based attacks, which have an additional degree of effect on you (so a moderate success becomes a major success against you). You have Wall-Crawling and Invisibility, limited to while you are surrounded by shadows or dim lighting, both at your Shadow Form level. • Solid Form: You transform into a dense solid material like metal or stone. You gain Strength equal to the greater of your power level or your normal Strength +1 while in solid form, along with Damage Resistance equal to your power level.",,
PWR_ALT_FORM_GASE,1,1,ALTERNATE FORM : GASEOUS,Alteration,3,4,"You transform into a cloud of gas or fine airborne particles, possibly even a swarm of flying insects or nanites. This allows you to squaze through tight spaces, slowly fly and makes you immune to many forms of damage but you vulnerable to wind, vacume, vibration and other types of attack that can target gas. You can't touch or intetarch with most things", ACTION|ATTRIBUTE_USED:NONE|MOVEMENT|PROTECTION,,"Alternate Form transforms you into a form other than flesh and blood. It takes a page of preparation to change into your Alternate Form, but you can return to normal form instantly on your panel. As an extra, you can assume your Alternate Form without preparation. While in your Alternate Form, you have full Life Support (see Life Support, following). • Energy Form: You become a coherent field of energy (see Energy Control for some possibilities). You gain Flight at your power level and are immune to physical attacks but you have no Strength and cannot touch or affect physical objects while in energy form. Attacks affecting your type of energy still affect you. You can acquire Energy Control of the same type as your form as an extra. • Explosive Form: You can make your body explode like a Blast with the Burst extra. You then reform at the start of the next page. Until then you are immune to physical attacks but unable to affect the physical world. You can delay reforming for up to your power level in pages and reform anywhere within extended range of where you exploded. As an extra, you can Teleport at your power level after exploding, reforming much further away. • Fluid Form: You transform into a fluid form, able to flow through cracks and other small spaces. You might be a liquid—like water—or a mass of fine particles like dust or sand. You gain Damage Resistance and Stretching equal to your power level. • Gaseous Form: You transform into a cloud of gas or fine airborne particles, possibly even a swarm of flying insects or nanites. You gain Flight 1 and can flow through any opening that’s not airtight. You are immune to physical attacks except for those that would disrupt or affect a cloud. • Shadow Form: You transform into a flat silhouette of your normal appearance. You have no Strength and cannot touch or affect physical objects. You are immune to physical attacks, except for light-based attacks, which have an additional degree of effect on you (so a moderate success becomes a major success against you). You have Wall-Crawling and Invisibility, limited to while you are surrounded by shadows or dim lighting, both at your Shadow Form level. • Solid Form: You transform into a dense solid material like metal or stone. You gain Strength equal to the greater of your power level or your normal Strength +1 while in solid form, along with Damage Resistance equal to your power level.",,
PWR_ALT_FORM_SHAD,1,1,ALTERNATE FORM: SHADOW,Alteration,3,4,You transform into leaving 2d shadow. You can move on flat surface without effort and become invisible in dark places. You are vulnerable to light based attacks. , ACTION|ATTRIBUTE_USED:NONE,,"Alternate Form transforms you into a form other than flesh and blood. It takes a page of preparation to change into your Alternate Form, but you can return to normal form instantly on your panel. As an extra, you can assume your Alternate Form without preparation. While in your Alternate Form, you have full Life Support (see Life Support, following). • Energy Form: You become a coherent field of energy (see Energy Control for some possibilities). You gain Flight at your power level and are immune to physical attacks but you have no Strength and cannot touch or affect physical objects while in energy form. Attacks affecting your type of energy still affect you. You can acquire Energy Control of the same type as your form as an extra. • Explosive Form: You can make your body explode like a Blast with the Burst extra. You then reform at the start of the next page. Until then you are immune to physical attacks but unable to affect the physical world. You can delay reforming for up to your power level in pages and reform anywhere within extended range of where you exploded. As an extra, you can Teleport at your power level after exploding, reforming much further away. • Fluid Form: You transform into a fluid form, able to flow through cracks and other small spaces. You might be a liquid—like water—or a mass of fine particles like dust or sand. You gain Damage Resistance and Stretching equal to your power level. • Gaseous Form: You transform into a cloud of gas or fine airborne particles, possibly even a swarm of flying insects or nanites. You gain Flight 1 and can flow through any opening that’s not airtight. You are immune to physical attacks except for those that would disrupt or affect a cloud. • Shadow Form: You transform into a flat silhouette of your normal appearance. You have no Strength and cannot touch or affect physical objects. You are immune to physical attacks, except for light-based attacks, which have an additional degree of effect on you (so a moderate success becomes a major success against you). You have Wall-Crawling and Invisibility, limited to while you are surrounded by shadows or dim lighting, both at your Shadow Form level. • Solid Form: You transform into a dense solid material like metal or stone. You gain Strength equal to the greater of your power level or your normal Strength +1 while in solid form, along with Damage Resistance equal to your power level.",,
PWR_AQUA,1,1,AQUATIC,Alteration,2,5,You are able to breath and act easily underwater. Your reflexes and perception improve underwater. Potentially also your strength and combat prowess, PASSIVE|ATTRIBUTE_USED:NONE|ATTRIBUTE_SUB:COORDINATION|ATTRIBUTE_SUB:AWARENESS,DR HYDE's Power: HYDRO ADAPTATION allows him to breathe underwater and have increased strength and speed while submerged.,"Aquatic characters are equally able to function underwater and on land. You can breathe underwater and your Coordination and Awareness while submerged equal the higher of their normal levels +1 or this power’s level. You can swim at a speed based on your half your power level (rounded up) on the Benchmarks Table. As an extra, your Prowess and Strength also increase to your Aquatic level or gain 1 level (whichever is greater) while you are underwater.",,"During character creation or later during character development you can take specific extra effect:
Aquatic Power :  Prowess and Strength also increase to your Aquatic level or gain 1 level (whichever is greater) while you are underwater."
PWR_AURA,1,1,AURA,Offensive,3,4,"Surrounds you with a damaging effect such as electricity dischrage, spinning magical blades etc.                    ", ACTION|ATTRIBUTE_USED:NONE,LUNAR NOVA's Power: SELUNE CLOAK envelops her in a aura of white cold flames. Contact with her results in freeze burns.,"Aura surrounds you with a damaging effect like fire, raw energy, sharp spines, or acid, chosen when you gain this power. Anything touching you suffers damage equal to your power level; this includes anyone attacking you unarmed (or their weapon, if they attack with one). If you deliberately touch an opponent, they suffer your Aura’s damage. If you strike an opponent, they suffer your aura’s damage as a Secondary Effect of your normal Strength damage (see Secondary Effect under Standard Extras).",,
PWR_BIND,1,1,BINDING,Offensive,2,4," Binds or traps targets at extended range with use of ice, magical chains, glue etc.                ", REPEATED_ACTION|ATTRIBUTE_USED:COORDINATION,NEWTONER's Power : FIXED POINT allows him to temporary create points of local intensification of gravity which can trap his targets,"Binding projects an attack out to extended range that binds or traps the target with glue, ice, mud, webbing, or the like. Your Binding has a Material level equal to its power level. Make a Coordination test against the target’s Coordination: • Failure has no effect. • Marginal Success achieves a partial hold (as follows) but the Material level of your Binding is halved. • Moderate Success achieves a partial hold. The target can perform actions, but at a –2 penalty, and can’t move from the spot. A moderate success can also upgrade an existing partial hold to a complete hold. • Major or Massive Success puts the target into a complete hold. The target is fully restrained and cannot take any physical action except to escape (see Escape in the Taking Action chapter)",,
PWR_BLAS,1,1,BLAST,Offensive,1,5," Projects a damaging attack at extended range which takes form of the chosen energy such pure force, magical solidified darkness, ray of cold etc.           ", REPEATED_ACTION|ATTRIBUTE_USED:COORDINATION,WHITE HARPY Power: SONIC RIFLE  allows her to shoot vibrations that can both penetrate armor or knock people harmlessly to the floor,"Blast projects a damaging attack at extended range. Choose the descriptive trappings of your Blast—from pure force to an element or energy—and whether it is a blasting or shooting attack when you get this power. Your Blast inflicts damage equal to its level. See Attacking in Taking Action for more information. As an extra, you can have a Blast able to make either a blasting or shooting attack, as you choose whenever you use it","
This power requires you to make those choices during character creation :

Chose one of the following version of blast power:
-Blasting - distributed attack, less lethal
-Shooting - focused attack, more lethal","During character creation or later during character development you can take specific extra effect:
Broad use :  Each time you can choose either Blasting or Schooting version of your power"
PWR_DANG_SENS,1,1,DANGER SENSE,Mental,2,4,"Magical intuition, subconious alarm or high-tech early warning system allows to better react to attacks and noticy danger.             ", REACTION|ATTRIBUTE_USED:NONE|ATTRIBUTE_SUBSTITUDE : AWARENESS,SENTINEL's Power: PRECOGNITIVE AWARENESS alows him to see glimps of future and react quickly against impending threats.,"Danger Sense is a special “sixth sense” for imminent danger. You can use your Danger Sense level as the ability for reactions to defend against attacks or other sudden dangers and for Awareness tests to notice those dangers. If your Danger Sense level is lower than the associated ability level, you get a +1 bonus to tests using the ability instead.",,
PWR_DAZZ,1,1,DAZZLE,Offensive,2,4, Overwhelms one of the target's senses such as vision or hearing to hinder them in combat                  , REPEATED_ACTION|ATTRIBUTE_USED:COORDINATION," MULTI-PRISM's Power: BLINDING LIGHT stops her opponents with blinding flashes of light, impairing their combat abilities.","Dazzle is an attack to overwhelm one of the target’s senses; it could be blinding light, a deafening sound, a chemical spray, a gob of mud, or anything similar. Choose a sense your Dazzle affects when you acquire this power. In addition to the normal senses, you could choose to dazzle a sensory power like Danger Sense or Detection. Make a Coordination test against the Coordination of a target within extended range: • Failure or Marginal Success means no effect. • Moderate Success, the target is dazzled for one page. • Major Success, the target is dazzled for one page per power level. • Massive Success, the target is dazzled for the entire chapter. Dazzled characters have +2 difficulty with actions relying on the dazzled sense and automatically fail Awareness checks using it. Using an advantage to Recover (see Advantage in The Basics) ends the Dazzle immediately.","
This power requires you to make those choices during character creation :

Chose one of the senses such as vision or hearing as your target. Additionally you can choose special sensces such as  Danger Sence Power or Detection Power
","During character creation or later during character development you can take specific extra effect:
Broad use  :  Choose additional sense you can attack"
PWR_DENS,1,1,DENSITY,Alteration,3,3, Increase body density to sacrifice your agility and speed for great strength and damage resistance.                        , ACTION|ATTRIBUTE_USED:NONE|ATTRIBUTE_SUB:STRENGHT,BOUNCER's Power: STRONG CORE allows him to increase his density which both increases his durabulity and strenght in a fight ,"Density allows you to increase your body’s density at will. Your Strength equals your active Density level or your normal Strength +1, whichever is greater, and you gain Damage Resistance power equal to your Density level. As a limit, your Coordination equals the lower of your normal level or 10 minus your active Density level (with a minimum of 1). You can gain Phasing as an extra by decreasing your density to the point of intangibility.",,"During character creation or later during character development you can take specific extra effect:
Lower density  :  You can use this power to mimic Phasing Power which represents you lowering your density. Your strength is lowered when you use your power this way. "
PWR_DETE,1,1,DETECTION,Mental,2,4," Detect a specific thing at visual/close range - such energy, magic, electricity, evil intentions. Consult with your GM, so they can accept your choice                ", PASSIVE|ATTRIBUTE_USED:NONE|ATTRIBUTE_SUB:AWARENESS,"CURSED CRUCADER's Power:  MAGIC SCENT alows him to detect works of magic nearby by the smell, even distingushing source (such as sulfur for Infernal)","Detection is the ability to detect a specific thing—an energy, power, or presence—at visual range with Awareness equal to your Detection level. Select a type of Detection from the following list or make up one of your own: Cosmic, Emotion, Energy, Evil, Magic, Magnetic, Power, Radiation, or Spirit. You can add another thing you can detect as an extra. ",,"During character creation or later during character development you can take specific extra effect:
Broad use :  Each time you can choose additonal thing you detect"
PWR_DUPL,1,1,DUPLICATION,Alteration,5,3," Produce duplicates of yourself - copies from magical mirror, instant clones or cyborg replicas. They share your powers and skills                         ", ACTION|ATTRIBUTE_USED:NONE,"MULTI-PRISM's Power: HOLO COPY  can create hard light duplicates, each possessing her light based powers","Duplication can produce duplicates of you, up to your power level in number, so one duplicate with Duplication 1, two with Duplication 2, and so forth. It takes a page of preparation to create a duplicate. Duplicates have the same abilities as you, except they lack this power (duplicates cannot themselves create duplicates). Duplicates performing the same action together use the rules for combined effort (see Combined Effort in The Basics chapter). Duplicates do not have Determination, but you can share your Determination Points with your duplicates. A dead or unconscious duplicate disappears. If you are incapacitated, all your duplicates disappear.",,
PWR_ENRGY_CTRL_FIRE,1,1,ENERGY CONTROL: FIRE,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stun, Bind or Dazzle.his is main use of your power and you use it at your elemental control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.

You will use Willpower instead of coordination or prowess for all of powers conected to energy control","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your element  at lvl -1 of elemental control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_EMOT_CTRL,1,1,EMOTION CONTROL,Mental,4,4,"You can inflict specific emotion on target such as making them afraid by ghostly visions, attracted o you by pheromones etc.", ACTION|ATTRIBUTE_USED:NONE|CONCENTRATION,,,"
This power requires you to make those choices during character creation :

Chose one of the following emotions or consult GM on others: anger, fear, attraction.
","During character creation or later during character development you can take specific extra effect:
Broad range  :  Choose additonal emotion you can control"
PWR_ENRGY_CTRL_COLD,1,1,ENERGY CONTROL: COLD,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_DARK,1,1,ENERGY CONTROL: DARKNESS,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_ELEC,1,1,ENERGY CONTROL: ELECTRICAL,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_LIGH,1,1,ENERGY CONTROL: LIGHT,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_MAGN,1,1,ENERGY CONTROL: MAGNETIC,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_RADI,1,1,ENERGY CONTROL: RADIATION,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_SONI,1,1,ENERGY CONTROL: SONIC,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
